MDVP:Fo(Hz),MDVP:Fhi(Hz),MDVP:Flo(Hz),MDVP:Jitter(%),MDVP:Jitter(Abs),MDVP:RAP,MDVP:PPQ,MDVP:Shimmer,MDVP:Shimmer(dB),Shimmer:APQ3,Shimmer:APQ5,MDVP:APQ,NHR,HNR,RPDE,DFA,spread1,spread2,D2,PPE,CPP,MFCC_1_mean,MFCC_2_mean,MFCC_3_mean,MFCC_4_mean,MFCC_5_mean,MFCC_6_mean,MFCC_7_mean,MFCC_8_mean,MFCC_9_mean,MFCC_10_mean,MFCC_11_mean,MFCC_12_mean,MFCC_13_mean,MFCC_1_std,MFCC_2_std,MFCC_3_std,MFCC_4_std,MFCC_5_std,MFCC_6_std,MFCC_7_std,MFCC_8_std,MFCC_9_std,MFCC_10_std,MFCC_11_std,MFCC_12_std,MFCC_13_std,F1_mean,F1_bw,F2_mean,F2_bw,F3_mean,F3_bw,spectral_tilt,status
-0.21679384,-0.009525075,0.00456466,0.0010383058,0.01934782,0.0049310904,-0.0571006,-0.0821201,-0.10403334,-1.1184955,-1.069095,-0.39322817,-0.3007403,-1.2235785,0.1399146,0.72378266,0.015183821,0.08932809,0.18314362,-0.0062052803,0.09128787,0.061706867,-0.04545669,-0.1807417,-0.03559918,-0.29986402,0.08811684,-0.58346975,0.09763662,0.20383926,0.15654376,0.24999595,-0.069595255,0.0237894,-0.61824,-0.25559118,-0.00015088043,-0.14276227,-0.011557629,-0.045420654,-0.0029137796,-0.08332812,0.0024258893,-0.015171681,-0.031047156,-0.011088541,-0.046596505,-0.00650691,-0.069327265,-0.002735693,-0.055759914,-0.006386299,0.0010396999,-0.4667026,0
-0.20207359,-0.0010791654,-0.008978347,-0.0028740894,-0.0016775327,0.001007806,-0.038194105,-0.068989985,-0.084626205,-0.6099181,-0.80732566,-0.2897832,-0.3397595,-1.0139611,-0.124060616,0.7317246,0.05364337,0.061895058,-0.8225259,-0.011088479,-0.19990414,0.040045097,-0.0065579913,0.13904718,-0.006828902,0.2400674,0.1274584,0.9909287,0.08669614,0.7193573,0.18201764,0.40879336,0.17822576,0.018758934,-0.69869256,-0.27290034,0.056027878,-0.12597337,-0.014987279,-0.049201682,-0.0049344217,-0.06382384,0.0020746326,-0.019416302,-0.021209113,-0.021212917,-0.05205586,7.555913e-05,-0.06519573,-0.006027525,-0.04415956,-0.016032811,-0.0054661636,-0.51394725,0
0.32954982,-0.0011117659,-0.00076957874,0.0011267689,-0.0010498881,0.004702585,-0.060714915,-0.08083022,-0.09363152,-1.0955399,-1.1186923,-0.3265887,-0.34326768,-1.1768594,-0.12810862,0.38827088,0.06665519,0.0635312,0.19343178,0.021142311,-0.21398364,0.015229562,-0.022192763,0.09215399,-0.015674917,-0.122513585,0.08067784,0.05774076,0.0896471,0.8075582,0.15730579,0.41638398,0.15986004,0.019957114,-0.6125157,-0.27425966,-0.066119164,-0.14734009,-0.007999789,-0.05404089,-0.0032464066,-0.04614014,0.0015626948,-0.017542867,-0.033966687,-0.023199104,-0.13975154,0.008664725,-0.06617275,-0.0010586471,-0.046219237,-0.0057867724,-0.004558575,-0.51074064,0
-0.20627008,-0.004949413,-0.00038973137,0.0005574151,0.011281892,0.0015748236,-0.054064684,-0.07979979,-0.097508855,-0.9963466,-1.0256252,-0.3089328,-0.32650813,-1.151048,-0.12560865,0.75649726,0.06039607,0.053678006,0.20795077,-0.0062887864,-0.23449568,-0.1024869,-0.016827226,0.1521256,-0.011052821,0.12232478,0.10211006,0.62984526,0.094219685,0.76159227,0.19930905,0.4342883,0.112774014,0.01861869,-0.6753216,-0.27240318,-0.044945903,-0.1403086,-0.012997095,-0.056609828,-0.009676592,-0.07143681,0.0013230488,-0.020900551,-0.020990772,-0.015900139,-0.14551573,0.0014098398,-0.0616345,-0.005889975,-0.044437386,-0.013106939,-0.0051830444,-0.49858224,0
-0.20760086,0.012241874,0.015425876,0.005166278,0.019985415,0.0014570674,-0.05341573,-0.072856404,-0.09775261,-0.97808796,-1.004413,-0.38767502,-0.28659332,-1.1491712,0.11562045,0.810375,-0.03774386,-0.010058659,0.18229869,0.017606288,0.28834352,0.06928253,-0.046529274,-0.18105838,-0.027466659,-0.29251215,0.09234583,-0.58803105,0.10317017,0.010943522,0.16884708,0.277026,-0.06575297,0.023568014,-0.6314697,-0.24701686,0.03280355,-0.13304946,-0.011759367,-0.042216513,-0.004392835,-0.080258474,-0.0014177791,-0.01554032,-0.015214175,0.01014835,0.10192001,0.0017196424,-0.06653202,-0.0077744434,-0.048321642,-0.004466539,0.0047761183,-0.4677008,0
-0.20349133,0.006815802,0.0030993712,0.0010383058,0.019808944,0.005044943,-0.051862404,-0.08131034,-0.08697857,-1.0579739,-1.0157615,-0.3785465,-0.29583907,-1.1551148,0.011245722,0.833873,-0.036612734,0.0391351,0.19124365,0.017625231,0.39072445,0.014227735,-0.046774715,-0.16923437,-0.033701003,-0.29848552,0.08552769,-0.6152828,0.10022333,0.24494274,0.16700311,0.3948985,-0.069514304,0.024008034,-0.6118512,-0.26853198,-0.06234219,-0.13077733,-0.016075019,-0.04917114,-0.004671826,-0.07954992,0.0055676084,-0.016591636,-0.032235663,-0.021888541,-0.09653658,-0.010325683,-0.06235669,-0.0056861946,-0.04862869,-0.0057764566,-0.0019865185,-0.499594,0
0.32690266,-0.0042858426,0.004313391,0.001239228,0.0026256186,0.00607308,-0.0464644,-0.09118449,-0.11384767,-1.1592596,-1.1689469,-0.3609091,-0.2855961,-1.2104081,-0.070915274,0.31016424,0.09481494,0.078393035,0.18470164,0.00225973,-0.162715,0.045339435,-0.047758903,-0.16305181,-0.032762934,-0.043889765,0.08278945,-0.43159524,0.08456111,0.28353798,0.16998997,0.4512096,0.20387551,0.023072382,-0.59901935,-0.27732155,-0.060076736,-0.14918698,0.0037544759,-0.047049962,0.0022629213,-0.069327876,0.0009301358,-0.012950408,0.0530795,-0.020902056,-0.11794451,-0.007237496,-0.06850742,0.01359558,-0.051567025,-0.008883337,0.0019253019,-0.3191467,0
0.31316453,0.002450396,0.010672374,0.001239228,-0.001190413,0.0064002303,-0.055494513,-0.08195638,-0.10943285,-1.1675332,-1.1624273,-0.32815275,-0.2754419,-1.1981689,-0.13521856,0.3449088,0.08075027,0.07020102,0.2029865,-0.005995389,-0.20939331,0.03760349,-0.04884224,0.028381743,-0.008578927,0.16381097,0.095614284,0.0065411134,0.0889107,0.4456264,0.16948202,0.46008155,0.2099241,0.023329252,-0.58318883,-0.26223424,-0.002913203,-0.14940043,0.0024663152,-0.03571625,-0.002530438,-0.064435944,0.0033515103,-0.015373056,0.008002705,-0.022381926,-0.13426018,-0.0065884762,-0.043426808,0.01791959,-0.051567025,-0.0105649745,0.0026880237,-0.23558484,0
0.31578484,-0.0069434443,-0.0696348,0.001239228,0.004124388,0.0014364258,-0.03744166,-0.06650374,-0.0997387,-1.046656,-1.0059626,-0.35822606,-0.31607097,-1.1392802,-0.13276348,0.44745252,-0.00012444938,0.04787615,0.0510001,0.002545088,0.2983174,0.008167742,-0.026424507,-0.21269764,-0.030489394,-0.2905925,0.08257139,-0.46537217,0.048311166,0.38903883,0.1521991,0.3872491,0.12783186,0.01949641,-0.6265931,-0.29069737,0.06279712,-0.13355938,-0.010983342,-0.050631065,0.0043486077,-0.07325176,0.0051446976,-0.01226977,-0.034500476,-0.022715311,-0.062244765,-0.0037171415,-0.06840896,3.0612457e-05,-0.042533413,-0.010500531,0.0080403695,-0.53379756,0
0.3292355,-0.005603655,0.0015352895,0.001239228,0.0019402527,0.006088934,-0.044236388,-0.087320864,-0.09886899,-1.1524405,-1.1370537,-0.3382725,-0.34594083,-1.1533738,-0.061019342,0.359138,0.07764903,0.076681435,0.17685385,-0.011725463,-0.18793847,0.040546488,-0.04650533,-0.16668184,-0.022539089,-0.14915565,0.07575975,-0.37146223,0.08701436,0.87490815,0.15784809,0.44334978,0.1910964,0.01985592,-0.57068247,-0.2807705,-0.074916035,-0.138323,0.0037681663,-0.047584284,-0.013312785,-0.05150837,0.0003119532,-0.014810628,-0.028276049,0.010492876,-0.12491788,0.0048973593,-0.071340546,0.009126872,-0.049406275,-0.0105050225,-0.0017210426,-0.2989369,0
